Title,Total Abstract Length,Perc common English words,Perc common technical words,Perc keywords
Inclusive search for supersymmetry using razor variables in pp collisions at s =13 TeV,102,40.2,12.75,47.06
 III. Physikalisches Institut A,481,30.15,11.23,58.63
Modelling the cost-effectiveness of catch-up ‘MenB’ (Bexsero) vaccination in England,277,31.77,16.61,51.62
Ultradian glucocorticoid exposure directs gene-dependent and tissue-specific mRNA expression patterns in vivo,320,36.88,17.5,45.62
"Persistence of bactericidal antibodies following booster vaccination with 4CMenB at 12, 18 or 24 months and immunogenicity of a fifth dose administered at 4 years of age-a phase 3 extension to a randomised controlled trial",194,40.21,12.37,47.42
Axillary treatment for operable primary breast cancer,157,36.31,19.75,43.95
Event-scale power law recession analysis: Quantifying methodological uncertainty,174,38.51,22.99,38.51
An evaluation of the evolution of the gene structure of dystroglycan,124,37.9,11.29,50.81
VEGF regulates local inhibitory complement proteins in the eye and kidney,147,31.29,11.56,57.14
Modeling Dynamics and Function of Bone Marrow Cells in Mouse Liver Regeneration,218,28.9,17.43,53.67
Royal misattribution: monograms in the León Antiphoner,224,39.73,21.43,38.84
"Being a freshie is (not) cool: stigma, capital and disgust in British Pakistani stereotypes of new subcontinental migrants",248,29.84,17.74,52.42
Acts and practices of citizenship: Muslim women’s activism in the UK,556,31.65,19.06,49.28
"Chewing gum vs. ibuprofen in the management of orthodontic pain, a multi-centre randomised controlled trial–the effect of anxiety",273,31.14,16.12,52.75
Recent advances in understanding and treating nephrotic syndrome,253,43.08,17,39.92
Segregation at school and at home: An English exploration,202,43.07,22.77,34.16
Health care needs and support for patients undergoing treatment for prosthetic joint infection following hip or knee arthroplasty: A systematic review,253,40.71,14.62,44.66
Journal of Physics: Celebrating 50 years of serving physics,292,29.45,13.01,57.53
Nanog dynamics in mouse embryonic stem cells: Results from systems biology approaches,302,31.13,17.22,51.66
Visual regimes and the politics of war experience: Rewriting war 'from above' in WikiLeaks' 'Collateral Murder',289,38.41,11.42,50.17
Does health spending need to outpace GDP per head?,206,32.04,14.08,53.88
Corroboration of the J-value model for lifeexpectancy growth in industrialized countries,288,28.82,18.75,52.43
The association of cigarette smoking with depression and anxiety: A systematic review,301,39.87,21.59,38.54
The potential role of unregulated autonomous bladder micromotions in urinary storage and voiding dysfunction; overactive bladder and detrusor underactivity,172,41.86,13.37,44.77
The ability of laying pullets to negotiate two ramp designs as measured by bird preference and behaviour,205,29.76,13.66,56.59
Early health outcome and 10-year survival in patients undergoing redo coronary surgery with or without cardiopulmonary bypass: A propensity score-matched analysis,311,26.05,11.9,62.06
Functional and cardioprotective effects of simultaneous and individual activation of protein kinase A and Epac,200,31.5,16,52.5
Comprehensive First-Line Magnetic Resonance Imaging in Hypertension: Experience From a Single-Center Tertiary Referral Clinic,178,39.89,12.92,47.19
Stereodivergent Olefination of Enantioenriched Boronic Esters,287,28.92,17.42,53.66
Expression dependence in the perception of facial identity,214,35.51,11.21,53.27
Marginal predation: Do encounter or confusion effects explain the targeting of prey group edges?,138,35.51,21.01,43.48
SecA-a new twist in the tale,334,33.23,19.16,47.6
Palladium-Catalyzed Direct Stereoselective Synthesis of Deoxyglycosides from Glycals,418,26.56,6.22,67.22
Imidazolium-labeled glycosides as probes to harness glycosyltransferase activity in human breast milk,259,30.5,11.58,57.92
A Short Synthesis of (±)-3-Demethoxyerythratidinone by Ligand-Controlled Selective Heck Cyclization of Equilibrating Enamines,262,27.1,19.08,53.82
Enantiospecific Trifluoromethyl-Radical-Induced Three-Component Coupling of Boronic Esters with Furans,275,28.36,17.09,54.55
"Alkynyl Moiety for Triggering 1,2-Metallate Shifts: Enantiospecific sp2–sp3 Coupling of Boronic Esters with p-Arylacetylenes",340,36.18,22.06,41.76
Reproductive innovation and the recognition of a new genus within the Polystomatidae (Monogenea) infecting chelonian vertebrates,244,36.07,14.34,49.59
"A generalized Fellner-Schall method for smoothing parameter optimization with application to Tweedie location, scale and shape models",338,40.83,13.91,45.27
Leaving safety to visit a feeding site: Is it optimal to hesitate while exposed?,293,34.81,18.43,46.76
Many Cubic Surfaces Contain Rational Points,222,38.29,18.47,43.24
Dazzle camouflage and the confusion effect: the influence of varying speed on target tracking,158,42.41,8.86,48.73
Risk Control: Who Cares?,156,24.36,17.95,57.69
A comparison of published multidimensional indices to predict outcome in idiopathic pulmonary fibrosis,244,27.87,9.43,62.7
"Yesterday's Doctors: The Human Aspects of Medical Education in Britain, 1957-93",149,33.56,16.78,49.66
Filament Temperature Dynamics in Fused Deposition Modelling and Outlook for Control,247,29.55,15.79,54.66
Hydrological evaluation of satellite soil moisture data in two basins of different climate and vegetation density conditions,315,39.68,15.87,44.44
Differential roles for cortical versus sub-cortical noradrenaline and modulation of impulsivity in the rat,262,29.39,12.6,58.02
"Error management, reliability and cognitive evolution",152,37.5,21.05,41.45
Perhydrohelicenes and other diamond-lattice based hydrocarbons: The choreography of inversion,141,40.43,9.22,50.35
Selection of the intrinsic polarization properties of animal optical materials creates enhanced structural reflectivity and camouflage,230,26.96,20.43,52.61
Fifty percent of anaesthetists are worse than average at understanding statistics and risk,308,40.91,18.83,40.26
Autotuning of Isotropic Hardening Constitutive Models on Real Steel Buckling Data with Finite Element Based Multistart Global Optimisation on Parallel Computers,258,34.5,16.67,48.84
Natural products from filamentous fungi and production by heterologous expression,185,28.11,9.73,62.16
Using the affective bias test to predict drug-induced negative affect: implications for drug safety,119,35.29,10.08,54.62
Medical undergraduate primary care teaching across the UK: What is being taught?,215,36.74,14.42,48.84
The PICK1 Ca2+ sensor modulates N-methyl-D-aspartate (NMDA) receptor-dependent microRNA-mediated translational repression in neurons,305,32.79,15.41,51.8
"‘Living well’ as a path to social, ecological and economic sustainability",147,35.37,12.93,51.7
Effects of aeroelastic tailoring on performance characteristics of wind turbine systems,180,37.78,19.44,42.78
"ISAMBARD: An open-source computational environment for biomolecular analysis, modelling and design",238,34.45,16.39,49.16
Risk factors and functional abnormalities associated with adult onset secondary nocturnal enuresis in women,315,33.65,14.29,52.06
Hypoxia negates hyperglycaemia-induced chemo-resistance in breast cancer cells: The role of insulin-like growth factor binding protein 2,109,35.78,13.76,50.46
Digital Methodology to implement the ECOUTER engagement process,217,35.94,10.6,53.46
Understanding prostate-specific antigen dynamics in monitoring metastatic castration-resistant prostate cancer: Implications for clinical practice,282,27.66,14.89,57.45
Percutaneous endoscopic gastrostomy tube insertion in neurodegenerative disease: A retrospective study and literature review,96,34.38,14.58,51.04
ECG strain pattern in hypertension is associated with myocardial cellular expansion and diffuse interstitial fibrosis: A multi-parametric cardiac magnetic resonance study,175,30.29,10.86,58.86
Landscape impacts on pollinator communities in temperate systems: evidence and knowledge gaps,244,36.07,16.8,47.13
Throat swabs in children with respiratory tract infection: Associations with clinical presentation and potential targets for point-of-care testing,352,36.93,19.6,43.47
Oil-in-water microfluidics on the colloidal scale: new routes to self-assembly and glassy packings,166,30.12,18.07,51.81
High g-Force Rollercoaster Rides Induce Sinus Tachycardia but No Cardiac Arrhythmias in Healthy Children,221,35.75,19.91,44.34
The in situ bacterial production of fluorescent organic matter; an investigation at a species level,92,40.22,13.04,46.74
Hyperglycaemia-induced resistance to Docetaxel is negated by metformin: A role for IGFBP-2,337,40.36,11.57,48.07
Mode of delivery affected questionnaire response rates in a birth cohort study,177,33.33,12.99,53.67
Validation of the multiplier method for leg-length predictions on a large european cohort and an assessment of the effect of physiological age on predictions,331,36.56,18.13,45.32
Effect of APOE Genotype on Synaptic Proteins in Earlier Adult Life,258,34.11,12.4,53.49
Neurophysiology contributes to outcome prediction after cardiac arrest,210,28.1,19.05,52.86
Malignant metastatic deposits in an immunocompromised patient-could this be tuberculosis?,109,31.19,17.43,51.38
Camouflaging moving objects: Crypsis and masquerade,196,24.49,11.73,63.78
Opportunities for primary care to reduce hospital admissions: A cross-sectional study of geographical variation,346,32.95,19.08,47.98
Quantifying the stability of planktic foraminiferal physical niches between the Holocene and Last Glacial Maximum,205,36.1,10.24,53.66
The influence of varying proportions of terrestrial and marine dietary protein on the stable carbon-isotope compositions of pig tissues from a controlled feeding experiment,242,36.36,17.36,46.28
Comparison of group-based outpatient physiotherapy with usual care after total knee replacement: A feasibility study for a randomized controlled trial,216,39.81,13.89,46.3
"Strontium concentration, radiogenic (87Sr/86Sr) and stable (δ88Sr) strontium isotope systematics in a controlled feeding study",90,34.44,12.22,53.33
Skeletal pathology and variable anatomy in elephant feet assessed using computed tomography,169,34.32,13.02,52.66
Duration of benefit following completion of pulmonary rehabilitation in interstitial lung disease-An observational study,176,39.2,11.36,49.43
Fansubbing in China: Technology-facilitated activism in translation,216,38.43,26.85,34.72
Quenching the spark: Termination of CICR in the submicroscopic space of the dyad,141,36.88,17.73,45.39
"Ateleocystites? lansae sp. nov. (Mitrata, Anomalocystitidae) from the Upper Ordovician of South Wales",177,40.11,14.12,45.76
Stereocontrolled Total Synthesis of (−)-Stemaphylline,249,32.53,14.06,53.41
19F-NMR Reveals the Role of Mobile Loops in Product and Inhibitor Binding by the São Paulo Metallo-β-Lactamase,240,33.75,11.67,54.58
Family socioeconomic position in early life and onset of depressive symptoms and depression: a prospective cohort study,174,28.16,12.07,59.77
Surgical infection,175,30.29,14.86,54.86
"Oral anticoagulants for primary prevention, treatment and secondary prevention of venous thromboembolic disease, and for prevention of stroke in atrial fibrillation: Systematic review, network meta-analysis and cost-effectiveness analysis",201,33.33,12.94,53.73
Descending systems direct development of key spinal motor circuits,294,29.25,10.2,60.54
"Kainate receptors are the key to understanding synaptic plasticity, learning and memory (Review)",242,33.06,11.57,55.37
The effect of trophic level on individual amino acid δ15N values in a terrestrial ruminant food web,204,37.75,13.24,49.02
Using Mendelian randomization to determine causal effects of maternal pregnancy (intrauterine) exposures on offspring outcomes: Sources of bias and methods for assessing them,148,33.78,13.51,52.7
"The comparative immunology of wild and laboratory mice, Mus musculus domesticus",505,39.8,17.82,42.38
Children's experiences of chronic fatigue syndrome/myalgic encephalomyelitis (CFS/ME): A systematic review and meta-ethnography of qualitative studies,548,33.76,17.34,48.91
Personalized media: A genetically informative investigation of individual differences in online media use,361,29.36,10.25,60.39
"Effectiveness and cost-effectiveness of serum B-type Natriuretic peptide testing and monitoring in patients with heart failure in primary and secondary care: An evidence synthesis, cohort study and cost-effectiveness model",428,37.15,14.25,48.6
Altered Expression of Human Mitochondrial Branched Chain Aminotransferase in Dementia with Lewy Bodies and Vascular Dementia,263,25.86,8.75,65.4
Domain structure of ultrathin ferromagnetic elements in the presence of Dzyaloshinskii-Moriya Interaction,45,31.11,24.44,44.44
Increased SUMO-2/3-ylation mediated by SENP3 degradation is protective against cadmium-induced caspase 3–dependent cytotoxicity,262,35.5,10.31,54.2
Central limit theorems in the geometry of numbers,197,36.55,17.26,46.19
Spatial summation improves bird color vision in low light intensities,278,33.09,12.23,54.68
Multiple roles of GluN2B-containing NMDA receptors in synaptic plasticity in juvenile hippocampus,199,41.71,19.6,38.69
The mid-childhood and adolescent antecedents of women’s external locus of control orientation,174,34.48,13.79,51.72
The mid-childhood and adolescent antecedents of women's external locus of control orientation [version 2; referees: 2 approved],324,32.72,13.27,54.01
The antecedents of women's external locus of control: Associations with characteristics of their parents and their early childhood,192,37.5,14.58,47.92
Enantioselective Narasaka-Heck cyclizations: synthesis of tetrasubstituted nitrogen-bearing stereocenters,259,31.27,15.44,53.28
Effects of the distant population density on spatial patterns of demographic dynamics,194,36.08,17.53,46.39
Draft genome sequence of the coprinoid mushroom coprinopsis strossmayeri,197,45.69,15.23,39.09
Offshore wind turbine clutter characteristics and identification in operational C-band weather radar measurements,506,33.79,20.16,46.05
Secondary stressors are associated with probable psychological morbidity after flooding: A cross-sectional analysis,302,40.07,14.9,45.03
Differential regulation of the Rac1 GTPase–activating protein (GAP) BCR during oxygen/glucose deprivation in hippocampal and cortical neurons,245,38.37,12.65,48.98
"Ecomorphological inferences in early vertebrates: Reconstructing Dunkleosteus terrelli (Arthrodira, Placodermi) caudal fin from palaeoecological data",252,41.27,13.89,44.84
Screening strategies for atrial fibrillation: A systematic review and cost-effectiveness analysis,211,38.39,13.27,48.34
In defence of biodiversity,307,33.22,15.31,51.47
A design method for making an LCC compensation two-coil wireless power transfer system more energy efficient than an SS counterpart,253,38.74,12.65,48.62
Optical coherence tomography attenuation imaging for lipid core detection: an ex-vivo validation study,310,29.03,11.29,59.68
Performance Evaluation of Split Output Converters with SiC MOSFETs and SiC Schottky Diodes,317,31.86,9.46,58.68
Endorsing narratives under threat: Maintaining perceived collective continuity through the protective power of ingroup narratives in Northern Ireland and Cyprus,296,32.43,15.88,51.69
The assouad dimension of self-affine carpets with no grid structure,277,40.79,13.72,45.49
CgII cleaves DNA using a mechanism distinct from other ATP-dependent restriction endonucleases,291,35.74,14.09,50.17
Sulphur-isotope compositions of pig tissues from a controlled feeding study,311,29.58,10.93,59.49
Characterising the evaporation kinetics of water and semi-volatile organic compounds from viscous multicomponent organic aerosol particles,312,32.05,18.27,49.68
Interventions to improve immigrant health. A scoping review,343,31.78,16.62,51.6
"Prenatal unhealthy diet, insulin-like growth factor 2 gene (IGF2) methylation, and attention deficit hyperactivity disorder symptoms in youth with early-onset conduct problems",258,37.21,15.5,47.29
British Association of Dermatologists’ guidelines for the care of patients with actinic keratosis 2017,305,30.49,19.34,50.16
The dynamic relationship between cerebellar Purkinje cell simple spikes and the spikelet number of complex spikes,185,40.54,20.54,38.92
Opening a Can of Worm(-like Micelle)s: The Effect of Temperature of Solutions of Functionalized Dipeptides,371,39.08,8.36,52.56
Voltage distortion suppression for off-grid inverters with an improved load current feedforward control,254,31.89,18.9,49.21
Use of 3D models of congenital heart disease as an education tool for cardiac nurses,207,34.78,15.94,49.28
A ruthenium(II) bis(phosphinophosphinine) complex as a precatalyst for transfer-hydrogenation and hydrogen-borrowing reactions,128,33.59,10.94,55.47
Integration of light and circadian signals that regulate chloroplast transcription by a nuclear-encoded sigma factor,193,40.41,17.1,42.49
A laboratory-scale annular continuous flow reactor for UV photochemistry using excimer lamps for discrete wavelength excitation and its use in a wavelength study of a photodecarboxlyative cyclisation,264,31.06,18.56,50.38
Temperature-Dependence of the Rates of Reaction of Trifluoroacetic Acid with Criegee Intermediates,342,35.09,23.39,41.52
The origin of animals: Can molecular clocks and the fossil record be reconciled?,175,37.71,14.29,48
The relationship between egg size and helper number in cooperative breeders: A meta-analysis across species,223,33.63,12.11,54.26
Pharmacology of modulators of alternative splicing,244,23.77,15.98,60.25
Early Jurassic North Atlantic sea-surface temperatures from TEX86 palaeothermometry,298,36.91,13.09,50
Ephenidine: A new psychoactive agent with ketamine-like NMDA receptor antagonist properties,310,32.9,13.87,53.23
A tendril perversion in a helical oligomer: trapping and characterizing a mobile screw-sense reversal,279,27.6,13.98,58.42
Concerted functions of Streptococcus gordonii surface proteins PadA and Hsa mediate activation of human platelets and interactions with extracellular matrix,242,38.43,21.9,39.67
Antidepressants during pregnancy and autism in offspring: Population based cohort study,184,35.33,12.5,52.17
Spectroscopic ellipsometry of nanocrystalline diamond film growth,257,33.07,14.01,52.92
Using Genetic Variation to Explore the Causal Effect of Maternal Pregnancy Adiposity on Future Offspring Adiposity: A Mendelian Randomisation Study,301,28.24,14.62,57.14
Divalent Naphthalene Diimide Ligands Display High Selectivity for the Human Telomeric G-quadruplex in K+ Buffer,261,31.03,13.79,55.17
Towards understanding the epidemiology of Neisseria meningitidis in the African meningitis belt: a multi-disciplinary overview,320,31.25,18.12,50.62
Strain uses gap junctions to reverse stimulation of osteoblast proliferation by osteocytes,253,34.39,12.25,53.36
The functional and clinical significance of the 24-hour rhythm of circulating glucocorticoids,125,28.8,8.8,62.4
The rationale for post-operative radiation in localized bladder cancer,278,40.65,15.83,43.53
The structure and function of an RNA polymerase interaction domain in the PcrA/UvrD helicase,144,40.97,12.5,46.53
"The World's First Real-Time Testbed for Massive MIMO: Design, Implementation, and Validation",410,37.07,13.66,49.27
Surface Zeta Potential and Diamond Seeding on Gallium Nitride Films,226,31.86,23.89,44.25
Rankin–Selberg local factors modulo ℓ,287,34.49,16.72,48.78
Stable strontium isotopic heterogeneity in the solar system from double-spike data,126,31.75,11.9,56.35
Activity budget and social interactions in semi-captive gray woolly monkeys (Lagothrix lagotricha cana) living in an ex situ conservation area in Central Amazonia,440,39.09,15.45,45.45
Differing modes of animal exploitation in North-Pontic Eneolithic and Bronze Age Societies,161,31.06,16.77,52.17
Comparative evidence on the value relevance of IFRS-based accounting information in Germany and the UK,178,35.39,20.22,44.38
Is high serum LDL/HDL cholesterol ratio an emerging risk factor for sudden cardiac death? Findings from the kihd study,191,36.65,14.14,49.21
"Optimising measurement of health-related characteristics of the built environment: Comparing data collected by foot-based street audits, virtual street audits and routine secondary data sources",230,33.91,14.78,51.3
Phosphate stable oxygen isotope variability within a temperate agricultural soil,130,35.38,12.31,52.31
A positive proportion of locally soluble hyperelliptic curves over ℚ have no point over any odd degree extension,241,24.48,10.79,64.73
Arbuscular mycorrhizal fungi communities from tropical Africa reveal strong ecological structure,240,30.83,7.92,61.25
"Childhood interleukin-6, C-reactive protein and atopic disorders as risk factors for hypomanic symptoms in young adulthood: A longitudinal birth cohort study",215,37.67,18.6,43.72
Thermal-Mechanical Optimization of Folded Core Sandwich Panels for Thermal Protection Systems of Space Vehicles,153,35.29,8.5,56.21
Platform-independent cirrus and spectralis thickness measurements in eyes with diabetic macular edema using fully automated software,185,37.84,9.19,52.97
A modeling study of secondary organic aerosol formation from sesquiterpenes using the STOCHEM global chemistry and transport model,246,37.4,19.11,43.5
Spatial dynamics of TB within a highly urbanised Asian metropolis using point patterns,202,29.7,15.35,54.95
Retromer- and WASH-dependent sorting of nutrient transporters requires a multivalent interaction network with ANKRD50,200,40.5,8.5,51
The BRASS (BReast Angiosarcoma Surveillance Study): Protocol for a retrospective multicentre cohort study to evaluate the management and outcomes of angiosarcoma of the breast and chest wall,206,39.32,15.05,45.63
Age related patterns of disease and mortality in hospitalised adults in Malawi,206,32.52,11.65,55.83
Soluble vascular cell adhesion molecules may be protective of future cardiovascular disease risk: Findings from the PREVEND prospective cohort study,242,37.6,16.94,45.45
Antenatal nutritional supplementation and autism spectrum disorders in the Stockholm youth cohort: Population based cohort study,887,37.2,19.39,43.4
HAPRAP: A haplotype-based iterative method for statistical fine mapping using GWAS summary statistics,370,34.05,15.14,50.81
Life cycles and adult sizes of five co-occurring species of Arion slugs,161,34.16,11.8,54.04
VINOGRADOV SYSTEMS with A SLICE off,148,34.46,8.11,57.43
"A Southern Hemisphere record of global trace-metal drawdown and orbital modulation of organic-matter burial across the Cenomanian–Turonian boundary (Ocean Drilling Program Site 1138, Kerguelen Plateau)",202,40.1,13.86,46.04
Maternal Disease with Group B Streptococcus and Serotype Distribution Worldwide: Systematic Review and Meta-analyses,363,35.26,14.6,50.14
"Tapping the archives: the sterol composition of marine sponge species, as determined non-invasively from museum-preserved specimens, reveals biogeographical features",147,41.5,7.48,51.02
Blended drought index: Integrated drought hazard assessment in the Cuvelai-Basin,77,40.26,23.38,36.36
Temporal segregation between dung-inhabiting beetle and fly species,164,40.24,15.24,44.51
Interleukin-33 regulates tissue remodelling and inhibits angiogenesis in the eye,349,28.37,8.31,63.32
The effect of fission-energy Xe ion irradiation on dissolution of UO2 thin films,253,38.34,10.67,50.99
Observational study to estimate the changes in the effectiveness of bacillus calmette-guérin (BCG) vaccination with time since vaccination for preventing tuberculosis in the UK,279,31.9,9.32,58.78
Melt quality induced failure of electrical conductor (EC) grade aluminum wires,154,38.96,20.78,40.26
"Customised and Noncustomised Birth Weight Centiles and Prediction of Stillbirth and Infant Mortality and Morbidity: A Cohort Study of 979,912 Term Singleton Pregnancies in Scotland",194,43.3,14.95,41.75
Quantifying rooting at depth in a wheat doubled haploid population with introgression from wild emmer,358,40.5,13.97,45.53
"White matter lesions characterise brain involvement in moderate to severe chronic obstructive pulmonary disease, but cerebral atrophy does not",143,49.65,9.09,41.26
Renal Denervation Reduces Pulmonary Vascular Remodeling and Right Ventricular Diastolic Stiffness in Experimental Pulmonary Hypertension,329,27.96,13.07,58.97
Chlamydia trachomatis Pgp3 Antibody Population Seroprevalence before and during an Era of Widespread opportunistic chlamydia screening in England (1994-2012),288,35.76,13.89,50.35
Does the Size of the Effect of Adverse Events at High Ages on Daily-Life Physical Functioning Depend on the Economic Conditions Around Birth?,246,28.86,14.23,56.91
Dynamic skin patterns in cephalopods,239,30.54,20.92,48.54
Functional Analysis of the Coronary Heart Disease Risk Locus on Chromosome 21q22,273,38.1,12.82,49.08
CD8 + T-cell specificity is compromised at a defined MHCI/CD8 affinity threshold,99,33.33,12.12,54.55
Migration and social determinants of mental health: Results from the Canadian health measures survey,176,34.66,13.07,52.27
An unusual Amphisauropus trackway and its implication for understanding seymouriamorph locomotion,199,40.2,13.07,46.73
Impact of water scarcity on the Fenhe river basin and mitigation strategies,379,32.45,19.53,48.02
Aligning the planets: The role of nurses in the care of patients with non-ST elevation myocardial infarction,206,38.83,18.45,42.72
"Comparing hospital and telephone follow-up for patients treated for stage–I endometrial cancer (ENDCAT trial): a randomised, multicentre, non-inferiority trial",254,35.43,16.54,48.03
NMR-filtered virtual screening leads to non-metal chelating metallo-β-lactamase inhibitors,147,43.54,14.29,42.18
Socioeconomic disparities in birth weight and body mass index during infancy through age 7 years: A study within the Danish National Birth Cohort,104,35.58,25.96,38.46
Clinical and molecular features of renal and pheochromocytoma/paraganglioma tumor association syndrome (RAPTAS): Case series and literature review,229,28.38,16.59,55.02
A national patient and public colorectal research agenda: integration of consumer perspectives in bowel disease through early consultation,379,35.36,17.15,47.49
Intrastriatally infused exogenous CDNF is endocytosed and retrogradely transported to substantia nigra,171,42.69,14.04,43.27
Functional laterality of task-evoked activation in sensorimotor cortex of preterm infants: An optimized 3 t fmri study employing a customized neonatal head coil,292,32.88,14.38,52.74
"Nurse-moderated internet-based support for new mothers: Non-inferiority, randomized controlled trial",146,50.68,12.33,36.99
The miR-25-93-106b cluster regulates tumor metastasis and immune evasion via modulation of CXCL12 and PD-L1,212,32.55,12.26,55.19
Association of hip bone mineral density and body composition in a rural indian population: The Andhra Pradesh children and parents study (APCAPS),154,35.06,16.88,48.05
Duration of intravenous antibiotic therapy for children with acute osteomyelitis or septic arthritis: A feasibility study,333,24.32,12.61,63.06
A novel approach to field identification of cryptic Apodemus wood mice: calls differ more than morphology,316,38.61,17.72,43.67
"Amisulpride augmentation in clozapine-unresponsive schizophrenia (AMICUS): A double-blind, placebo-controlled, randomised trial of clinical effectiveness and cost-effectiveness",377,36.07,18.83,45.09
The odd couple: using biomedical and intersectional approaches to address health inequities,309,36.25,14.24,49.51
Alcohol consumption and prostate cancer incidence and progression: A Mendelian randomisation study,295,35.59,15.25,49.15
Natriuretic peptide receptor guanylyl cyclase - A pathway counteracts glomerular injury evoked by aldosterone through p38 mitogen-activated protein kinase inhibition,171,38.01,14.04,47.95
Towards a comprehensive climate impacts assessment of solar geoengineering,157,35.03,12.1,52.87
"Development of a core outcome set for disease modification trials in mild to moderate dementia: A systematic review, patient and public consultation and consensus recommendations",208,37.98,13.94,48.08
Nonparameningeal head and neck rhabdomyosarcoma in children and adolescents: Lessons from the consecutive International Society of Pediatric Oncology Malignant Mesenchymal Tumor studies,271,40.96,11.44,47.6
"Three, six, or twelve months of dual antiplatelet therapy after des implantation in patients with or without acute coronary syndromes: An individual patient data pairwise and network meta-analysis of six randomized trials and 11 473 patients",229,30.57,13.97,55.46
The seed of zizyphus jujuba var. spinosa attenuates Alzheimer’s disease-associated hippocampal synaptic deficits through BDNF/TrkB signaling,240,38.33,15.42,46.25
"Group B Streptococcal Disease Worldwide for Pregnant Women, Stillbirths, and Children: Why, What, and How to Undertake Estimates?",271,36.9,11.81,51.29
Artificially Sweetened Beverages and the Response to the Global Obesity Crisis,280,31.43,15.36,53.21
"AMSTAR 2: A critical appraisal tool for systematic reviews that include randomised or non-randomised studies of healthcare interventions, or both",213,30.99,15.02,53.99
"From magma ascent to ash generation: Investigating volcanic conduit processes by integrating experiments, numerical modeling, and observations",189,41.8,10.58,47.62
Overweight and obesity in children aged 3-13 years in urban Cameroon: A crosssectional study of prevalence and association with socio-economic status,183,36.61,15.3,48.09
InterPro in 2017-beyond protein family and domain annotations,338,29.88,15.98,54.14
Prognostic classifier based on genome-wide DNA methylation profiling in well-differentiated thyroid tumors,223,39.91,13,47.09
Identifying and modeling the structural discontinuities of human interactions,250,36.8,10.4,52.8
The flaws in the detail of an observational study on transcatheter aortic valve implantation versus surgical aortic valve replacement in intermediate-risks patients,203,36.95,11.82,51.23
Long working hours as a risk factor for atrial fibrillation: A multi-cohort study,128,30.47,14.84,54.69
Allogeneic Transplantation for Relapsed Waldenström Macroglobulinemia and Lymphoplasmacytic Lymphoma,280,36.43,11.07,52.5
Reduced intensity conditioned allograft yields favorable survival for older adults with B-cell acute lymphoblastic leukemia,202,35.15,15.84,49.01
Association between telomere length and risk of cancer and non-neoplastic diseases a mendelian randomization study,220,32.73,22.27,45
Update of the FANTOM web resource: High resolution transcriptome of diverse cell types in mammals,213,33.8,15.96,50.23
Multisite assessment of aging-related tau astrogliopathy (ARTAG),285,29.12,14.04,56.84
Comparison of HapMap and 1000 genomes reference panels in a large-scale genome-wide association study,272,31.25,24.26,44.49
"Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits",447,36.47,14.77,48.77
 Division of Biostatistics,394,38.83,19.54,41.62
Measurement of CP asymmetries in D± → η′π± and Ds ±→η′π± decays,267,32.96,11.99,55.06
 C.,252,36.9,18.65,44.44
Observation of the Ξb −→J/ψΛK− decay,86,40.7,15.12,44.19
 France; Lefèvre,159,37.74,11.32,50.94
Observation of charmless baryonic decays B (s)0 →p p - h+h′-,151,33.11,8.61,58.28
 G.,217,34.1,10.6,55.3
Measurements of the tt¯ production cross section in lepton+jets final states in pp collisions at 8 TeV and ratio of 8 to 7 TeV cross sections,149,28.19,14.09,57.72
 M.,330,36.67,15.76,47.58
Search for high-mass Zγ resonances in e+e−γ and μ + μ −γ final states in proton-proton collisions at √s=8 and 13 TeV,178,32.58,18.54,48.88
 Germany; Knutzen,230,38.26,19.13,42.61
Dendritic trafficking faces physiologically critical speed-precision tradeoffs,80,42.5,15,42.5
Weaving Knotted Vector Fields with Tunable Helicity,32,28.12,6.25,65.62
Searches for R -parity-violating supersymmetry in pp collisions at s =8 TeV in final states with 0-4 leptons,293,32.42,15.02,52.56
 T.,262,36.26,12.98,50.76
Effect of self- and cross-phase modulation on photon pairs generated by spontaneous four-wave mixing in integrated optical waveguides,119,47.06,7.56,45.38
Structural basis for the inhibition of RecBCD by gam and its synergistic antibacterial effect with quinolones,421,30.64,11.16,58.19
Pre-conception and prenatal alcohol exposure from mothers and fathers drinking and head circumference: Results from the Norwegian Mother-Child Study (MoBa),274,37.96,10.95,51.09
Measurement of CP Violation in B0 →d+D- Decays,238,36.55,16.39,47.06
 Poland; Kucharczyk,34,23.53,11.76,64.71
Ice Sheet Model Intercomparison Project (ISMIP6) contribution to CMIP6,79,40.51,26.58,32.91
Localisation and origin of the bacteriochlorophyll-derived photosensitizer in the retina of the deep-sea dragon fish Malacosteus niger,166,31.33,10.24,58.43
Model sensitivity studies of the decrease in atmospheric carbon tetrachloride,336,38.99,13.39,47.62
Calibration of channel depth and friction parameters in the LISFLOOD-FP hydraulic model using medium-resolution SAR data and identifiability techniques,267,35.21,15.73,49.06
A Feathered Dinosaur Tail with Primitive Plumage Trapped in Mid-Cretaceous Amber,213,39.44,11.74,48.83
Airborne radiation mapping: overview and application of current and future aerial systems,169,28.99,10.06,60.95
Flow-to-fracture transition in a volcanic mush plug may govern normal eruptions at Stromboli,331,35.35,13.9,50.76
Periodic responses of a structure with 3:1 internal resonance,260,35.38,10.38,54.23
